	Correct Word	Whisper Prediction	Match	Start Time	End Time	Execution Time
0	part	neuroscience.	0	0.32	0.39	2.69
1	chapter	chapter 7.	0	0.39	0.68	4.86
2	1	one.	0	0.68	1.03	5.40
3	a	getting mommy a month or six princess will arrive soon see that more who youflow	0	1.58	1.66	7.96
4	not	one night.	0	1.66	1.99	10.19
5	unnatural	unnatural.	0	1.99	2.77	10.68
6	enterprise	enterprise.	0	2.77	3.58	11.17
7	this	this.	0	5.04	5.27	11.79
8	is		0	5.27	5.37	12.31
9	written	written	1	5.37	5.72	14.08
10	from	from	1	5.72	6.00	14.57
11	memory	memory.	0	6.00	6.49	15.06
12	unfortunately	unfortunately.	0	6.64	7.54	15.55
13	if	if	1	8.09	8.22	16.42
14	i	i	1	8.22	8.30	20.30
15	could	it.	0	8.30	8.47	22.02
16	have		0	8.47	8.54	22.51
17	brought	bro...	0	8.54	8.84	24.26
18	with	with	1	8.84	9.02	24.73
19	me		0	9.02	9.15	25.21
20	the		0	9.15	9.22	25.67
21	material	material.	0	9.22	9.77	26.15
22	i	thank you so appreciate it!	0	9.77	9.86	28.06
23	so	so	1	9.86	10.05	28.60
24	carefully	carefully.	0	10.05	10.57	29.12
25	prepared	apparent.	0	10.57	11.09	31.02
26	this	until next time!	0	11.09	11.27	32.92
27	would		0	11.27	11.35	33.52
28	be		0	11.35	11.48	34.00
29	a		0	11.48	11.51	34.51
30	very	very	1	11.51	11.83	34.98
31	different	difference.	0	11.83	12.24	35.47
32	story	story.	0	12.24	12.86	35.96
33	whole	好吧!	0	13.42	13.65	37.71
34	books	books.	0	13.65	14.11	38.19
35	full	back and open with this series and get more plus and handling of the interpretive is helpful.	0	14.11	14.33	40.59
36	of		0	14.33	14.46	41.15
37	notes	notes.	0	14.46	14.95	41.64
38	carefully	carefully.	0	15.13	15.59	42.11
39	copied	copy	0	15.59	16.03	42.57
40	records	records.	0	16.03	16.66	43.06
41	firsthand	first hand.	0	16.66	17.34	43.63
42	descriptions	descriptions.	0	17.34	18.14	44.15
43	and	and	1	18.14	18.33	44.61
44	the		0	18.33	18.40	45.11
45	pictures	pictures.	0	18.40	19.13	45.60
46	that	thank you.	0	20.19	20.30	46.14
47	s		0	20.30	20.39	46.76
